"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"660.1260094642638","40.0","132.0","10908.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45004.0"
"665.391695022583","40.0","132.0","11172.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45268.0"
"670.2835454940796","40.0","132.0","11172.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45268.0"
"675.0695421695708","40.0","136.0","10528.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44624.0"
"680.3079750537872","40.0","136.0","10664.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44760.0"
"685.0685603618623","40.0","136.0","10796.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44896.0"
"690.3970417976379","40.0","136.0","10796.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44896.0"
"695.2086100578308","40.0","136.0","10924.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45024.0"
"700.0770707130432","40.0","136.0","11052.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45152.0"
"705.3611516952515","40.0","136.0","11052.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45152.0"
"710.0710418224335","40.0","136.0","11052.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45152.0"
"715.3608679771422","40.0","136.0","11308.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45408.0"
"720.1381349563599","40.0","140.0","10792.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44888.0"
"725.3925235271454","40.0","140.0","10792.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44888.0"
"730.0800392627716","40.0","140.0","11060.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45156.0"
"735.3513758182526","40.0","140.0","11060.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45160.0"
"740.19935131073","40.0","140.0","11188.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45288.0"
"745.0220029354095","40.0","144.0","10544.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44640.0"
"750.336226940155","40.0","144.0","10544.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","44640.0"
